ID Progetto,Nome Progetto,Numero di Like
classe3C_Frammenti del futuro_ Riflessi del passato,"Frammenti del futuro, Riflessi del passato",1
classe3C_storia,Il salvataggio di Milano,1
lagrange_classe3C_Storia_TEAM2,2025-04-01 16:42:22,add,1
lagrange_classe3C_Storia_TEAM2,2025-04-01 16:47:10,remove,0
lagrange_classe3C_Storia_TEAM2,2025-04-01 16:47:12,add,1
lagrange_classe3C_Storia_TEAM2,2025-04-01 16:47:50,remove,0
lagrange_classe3C_Storia_TEAM2,2025-04-01 16:47:50,add,1
lagrange_classe3C_Storia_TEAM2,2025-04-01 16:47:51,remove,0
lagrange_classe3C_Storia_TEAM2,2025-04-01 16:47:51,add,1
lagrange_classe3C_Storia_TEAM2,2025-04-01 16:47:53,remove,0
lagrange_classe3C_Frammenti_del_futuro__Riflessi_del_passato,2025-04-01 17:24:15,add,1,1
lagrange_classe3C_Frammenti_del_futuro__Riflessi_del_passato,2025-04-02 16:16:36,add,2
lagrange_classe3C_Frammenti_del_futuro__Riflessi_del_passato,2025-04-02 16:16:36,remove,1
lagrange_classe3C_Frammenti_del_futuro__Riflessi_del_passato,2025-04-02 16:16:37,add,2
tenca_classe1A_avventura_bosco,2025-04-02 16:17:03,add,1
lagrange_classe3C_storia,2025-04-02 16:52:37,rate,2.0
lagrange_classe3C_Storia_TEAM2,2025-04-02 16:52:57,rate,1.0
lagrange_classe3C_The_Glitch_(2),2025-04-02 16:55:07,rate,1.0
lagrange_classe3C_The_Glitch_(2),2025-04-02 16:55:19,rate,2.0
lagrange_classe3C_The_Glitch_(2),2025-04-02 16:56:23,rate,1.0
tenca_classe4A_50_sfumature_di_Milano,2025-04-02 16:59:46,rate,2.0
lagrange_classe3C_storia,2025-04-02 17:05:03,rate,5.0
tenca_classe4A_50_sfumature_di_Milano,2025-04-02 17:20:52,rate,5.0
lagrange_classe3C_Storia_team_1_(1),2025-04-08 12:17:13,rate,5.0
tenca_classe4A_INTRIGHI_NELLA_MILANO_DELLA_CONTRORIFORMA,2025-04-08 12:18:53,rate,4.0
tenca_classe3B_3_B_team_1,2025-04-14 10:55:27,rate,5.0
tenca_classe1A_avventura_bosco,2025-04-15 12:14:01,rate,5.0
lagrange_classe3C_Frammenti_del_futuro__Riflessi_del_passato,2025-04-15 12:24:11,rate,5.0
lagrange_classe3C_storia,2025-04-15 12:45:01,rate,3.0
